id,First Payment Date,First Payment Value
13030293,,
13030289,,
13030286,,
13030245,,
13030237,,
13030141,,
13029943,,
13029880,,
13029871,,
13027237,,
13023265,,
13023198,,
13023188,,
13023184,,
13023179,,
13023169,,
13023165,,
13023096,,
13023077,,
13023043,,
13023029,,
13022991,,
13022944,,
13022903,,
13022901,,
13022896,,
13022818,,
13022804,,
13022796,,
13022785,,
13022770,,
13022766,,
13022755,,
13022744,,
13022725,,
13022706,,
13022696,,
13018697,,
13017395,,
13017384,,
13017377,,
13017336,,
13017335,,
13017326,,
13017267,,
13017220,,
13017211,,
13017110,,
13017086,,
13017026,,
13017017,,
13016976,,
13016913,,
13016893,,
13016853,,
13016850,,
13016830,,
13016766,,
13016765,,
13016742,,
13016738,,
13016685,,
13016632,,
13016598,,
13016591,,
13016589,,
13016560,,
13016540,,
13016507,,
13016501,,
13016469,,
13016437,,
13016432,,
13016401,,
13016377,,
13016332,,
13016274,,
13016257,,
13016242,,
13016206,,
13016191,,
13016156,,
13016114,,
13016100,,
13015997,,
13015968,,
13015905,,
13015895,4/28/16 9:31 PM,19.95
13015881,,
13015863,,
13015810,,
13015724,,
13015714,,
13015690,,
13015685,,
13015646,,
13015605,,
13015590,,
13015588,,
13015552,,
13015473,,
13015436,,
13015429,,
13015255,,
13015246,,
13015242,,
13015238,,
13015231,,
13015175,,
13015172,,
13015124,,
13014998,,
13014934,,
13014922,,
13014846,4/7/16 10:40 PM,9.95
13014841,,
13014837,,
13014776,,
13014725,,
13014713,,
13014621,,
13014616,,
13014612,,
13014588,,
13014552,,
13014543,,
13014530,,
13014432,,
13014431,,
13014428,,
13014377,,
13014376,,
13014372,,
13014355,,
13014335,,
13014269,,
13014254,,
13014253,,
13014185,,
13014158,,
13014086,,
13014085,,
13014070,,
13014069,,
13014052,,
13014033,,
13014010,,
13013856,,
13013836,,
13013811,,
13013796,,
13013791,,
13013758,,
13013701,,
13013688,,
13013680,,
13013627,,
13013624,,
13013577,,
13013547,,
13013540,,
13013488,,
13013486,,
13013395,,
13013386,,
13013369,,
13013359,,
13013346,4/10/16 1:24 PM,9.95
13013344,,
13013304,,
13013270,,
13013266,,
13013202,,
13013159,3/31/16 5:07 PM,155.4
13013155,,
13013130,,
13013112,,
13013111,4/7/16 10:02 AM,71.4
13013034,4/18/16 1:46 PM,155.4
13013017,,
13012971,,
13012966,,
13012965,4/7/16 9:14 PM,9.95
13012951,,
13012942,,
13012889,,
13012870,,
13012806,,
13012789,,
13012735,,
13012729,,
13012695,,
13012595,,
13012563,,
13012530,,
13012527,,
13012519,,
13012461,4/14/16 5:08 PM,71.4
13012406,,
13012397,4/6/16 4:34 PM,9.95
13012366,,
13012364,,
13011012,3/31/16 4:19 PM,9.95
13010757,,
13008839,,
13007379,4/17/16 7:31 PM,9.95
13007273,,
13006709,,
13006700,,
13006651,,
13006560,,
13006556,,
13006487,,
13006471,,
13006416,,
13006392,,
13006372,,
13006310,,
13006272,,
13006263,,
13006261,,
13006217,,
13004178,,
13003457,,
13000724,,
13000668,,
13000612,,
13000597,,
13000590,,
13000505,,
13000414,,
13000340,,
13000317,,
13000302,,
13000299,,
13000219,,
13000194,,
13000182,,
13000151,5/4/16 11:33 PM,9.95
13000150,,
13000142,,
13000080,,
13000055,,
13000047,,
12999946,,
12999932,,
12999923,,
12999898,,
12999895,,
12999880,,
12999866,3/31/16 3:21 PM,9.95
12998044,,
12995931,,
12995929,,
12988628,,
12988620,,
12987929,,
12987864,,
12987860,,
12987716,,
12987664,,
12987643,,
12987615,,
12987570,,
12987547,,
12987535,5/4/16 3:20 PM,9.95
12987509,,
12987364,,
12987340,,
12987263,,
12987251,,
12987240,,
12987190,,
12987179,,
12987171,,
12987167,,
12987112,,
12987107,,
12987101,,
12987028,,
12987026,,
12987015,,
12986992,,
12986983,,
12986974,,
12986954,,
12986899,,
12986705,,
12986703,,
12986637,,
12986621,,
12986492,,
12986489,,
12986487,,
12986478,,
12986476,,
12986452,,
12986410,,
12986394,,
12986370,,
12986323,,
12986268,,
12986246,,
12986086,,
12986045,,
12985982,,
12985962,,
12985937,,
12985933,,
12985898,,
12985856,,
12985767,3/31/16 3:04 PM,9.95
12985757,,
12985755,,
12985692,,
12985640,,
12985637,,
12985608,,
12985559,,
12985555,,
12985517,,
12985391,,
12985311,,
12985296,,
12985236,3/31/16 1:26 PM,71.4
12985196,,
12985186,,
12985185,,
12985183,,
12985124,,
12982478,,
12981436,,
12980965,,
12979261,,
12977311,,
12976980,,
12974585,,
12974540,,
12974453,,
12974434,,
12974398,3/31/16 12:49 PM,155.4
12974375,,
12974313,,
12974275,,
12974198,,
12974189,,
12974184,,
12974173,,
12974158,,
12974137,,
12974123,,
12973938,,
12973909,,
12973866,,
12973863,,
12973811,,
12973809,,
12973770,,
12973750,,
12973747,,
12973596,,
12973584,,
12973493,,
12973483,,
12973402,3/31/16 12:28 PM,71.4
12973282,,
12973273,,
12973235,,
12973233,,
12973185,,
12973148,,
12973055,,
12973046,,
12973037,,
12972977,,
12972952,,
12972881,,
12972866,,
12972772,,
12972739,,
12972708,,
12972626,,
12972602,,
12972550,,
12972503,,
12972484,,
12972481,,
12972433,,
12972349,,
12972341,,
12972314,,
12972297,,
12972290,,
12972229,,
12972225,,
12972125,,
12972093,,
12972051,,
12972049,,
12971814,,
12971808,,
12971714,,
12971624,,
12971612,,
12971584,,
12971554,,
12971548,,
12969551,,
12969534,,
12963171,,
12963096,,
12960422,,
12960419,,
12960191,,
